CustomerID,Name,Gender,Age,City,SignupDate,LastPurchaseDate,PurchaseAmount,FeedbackScore,Email,PhoneNumber,Country
CUST1,Lisa Simmons,FEMALE,-5,,2021-03-19,2022-08-23,25828.51,3.0,patelcarlos@example.net,4165109346,
CUST2,Susan Mcpherson,male,-9,Chennai,2021-11-13,2024-05-03,26589.28,2.0,smiller@example.net,6182731295,UK
CUST3,Jeffrey Sanchez,M,-8,Bangalore,2025-10-20,2023-08-19,33948.4,,freemangabrielle@example.org,2751691858,canada
CUST4,Ronald Martin,F,-2,,2019-11-08,2024-10-10,32807.15,9.0,robert98@example.net,6644982987,canada
CUST5,Vanessa Torres,female,29 years,,2022-06-12,2021-11-21,,9.0,davischarles@example.net,7259232761,
CUST6,Brad Morse,F,,MUMBAI,2019-02-11,2025-06-23,44050.55,,anthonysantos@example.net,9487207499,india
CUST7,Tommy Mcgrath,female,,KOLKATA,2020-01-09,2023-10-13,36923.78,4.0,margaret51@example.net,3498959463,InDia
CUST8,Rachel Anderson,F,66,bangalore,2020-12-04,2022-06-09,11918.85,6.0,bullockdean@example.net,6648013878,Australia
CUST9,Jane Parrish DDS,m,67,DELHI,2019-01-25,2022-03-27,0.01,4.0,hooperharold@example.com,3373160427,InDia
CUST10,Jessica Brown,male,27.0,,2017-11-22,2025-08-07,32849.12,,pmiller@example.com,7937278175,UK
CUST11,Dr. Destiny Kelly,female,-7,,2024-11-18,,,7.0,tyler65@example.com,0672611851,CANADA
CUST12,Diane Wall,M,,,2025-10-12,,16949.57,3.0,ayersstephen@example.net,2166057419,usa
CUST13,Kelly Douglas,f,33,Delhi,2016-11-02,2023-01-02,14772.58,9.0,nholt@example.net,1805950876,InDia
CUST14,Ashley Graham,M,37.0,BANGALORE,2017-04-28,2025-07-03,14644.33,7.0,dalejones@example.net,7256115131,AUSTRALIA
CUST15,Kelly Skinner,M,,hyderabad,2016-04-07,,38551.17,6.0,umcmillan@example.com,9882347730,CANADA
CUST16,Michael Miles,FEMALE,35,CHENNAI,2016-08-01,2023-01-11,12911.38,3.0,cdixon@example.com,4615851429,
CUST17,Michael Garcia,FEMALE,36,Delhi,2019-06-21,2023-07-29,42620.15,,robinsonbryan@example.com,1626672448,InDia
CUST18,Mrs. Wendy Rodriguez,F,,,2018-08-17,2023-02-11,36634.76,6.0,xcarlson@example.org,9345331188,INDIA
CUST19,James Reid,FEMALE,,Hyderabad,2018-08-08,2023-03-12,3895.88,2.0,cruzjamie@example.net,1466856041,
CUST20,William Wise,m,50.0,,2024-12-22,2023-01-05,38874.57,4.0,nferguson@example.org,3171714085,usa
CUST21,Zoe Walker,M,28,kolkata,2025-11-13,2022-08-29,47364.2,9.0,qwalsh@example.net,1949674373,InDia
